,supplier,buyer,supplier_nace,buyer_nace
0,0,7413,14,43
1,0,29491,14,42
2,2504,29491,43,42
3,3134,29491,41,42
4,5162,29491,8,42
5,5285,29491,32,42
6,6681,29491,67,42
7,9641,29491,72,42
8,9802,29491,42,42
9,11514,29491,84,42
10,21905,29491,70,42
11,24481,29491,40,42
12,26453,29491,54,42
13,0,27781,14,32
14,2432,27781,39,32
15,3140,27781,17,32
16,3833,27781,71,32
17,6329,27781,35,32
18,9506,27781,76,32
19,13316,27781,41,32
20,14976,27781,41,32
21,21527,27781,42,32
22,23173,27781,84,32
23,25746,27781,49,32
24,25858,27781,18,32
25,28691,27781,8,32
26,28778,27781,71,32
27,30610,27781,41,32
28,5,7754,46,42
29,491,7754,59,42
30,591,7754,41,42
31,1022,7754,41,42
32,1562,7754,30,42
33,2912,7754,26,42
34,3140,7754,17,42
35,3399,7754,70,42
36,4371,7754,41,42
37,5612,7754,20,42
38,5890,7754,42,42
39,6554,7754,77,42
40,6675,7754,41,42
41,7099,7754,47,42
42,7155,7754,62,42
43,7351,7754,41,42
44,7498,7754,40,42
45,7841,7754,54,42
46,8577,7754,32,42
47,8578,7754,47,42
48,9092,7754,46,42
49,9552,7754,41,42
50,9877,7754,8,42
51,10281,7754,71,42
52,10569,7754,37,42
53,11948,7754,42,42
54,12438,7754,84,42
55,13893,7754,8,42
56,16243,7754,32,42
57,17292,7754,51,42
58,17534,7754,26,42
59,17674,7754,18,42
60,18189,7754,40,42
61,18403,7754,71,42
62,18488,7754,51,42
63,19405,7754,64,42
64,19571,7754,71,42
65,19681,7754,43,42
66,19692,7754,41,42
67,19853,7754,39,42
68,19858,7754,39,42
69,21380,7754,59,42
70,21779,7754,62,42
71,22129,7754,70,42
72,22592,7754,20,42
73,22849,7754,41,42
74,22944,7754,40,42
75,23268,7754,55,42
76,24256,7754,54,42
77,26181,7754,41,42
78,26190,7754,71,42
79,26212,7754,83,42
80,26581,7754,51,42
81,26884,7754,32,42
82,26978,7754,46,42
83,27353,7754,41,42
84,27410,7754,18,42
85,27533,7754,59,42
86,28334,7754,42,42
87,29478,7754,41,42
88,29612,7754,72,42
89,30917,7754,54,42
90,31169,7754,41,42
91,31831,7754,53,42
92,31917,7754,42,42
93,32979,7754,84,42
94,6,10060,20,8
95,3121,10060,40,8
96,4237,10060,59,8
97,4731,10060,46,8
98,10902,10060,84,8
99,17346,10060,42,8
100,17696,10060,72,8
101,22107,10060,21,8
102,23985,10060,32,8
103,25829,10060,84,8
104,30853,10060,41,8
105,31972,10060,9,8
106,9,28646,59,46
107,3568,28646,71,46
108,29560,28646,24,46
109,12,30128,44,24
110,703,30128,31,24
111,792,30128,41,24
112,1514,30128,41,24
113,4605,30128,0,24
114,5285,30128,32,24
115,5661,30128,41,24
116,6384,30128,53,24
117,7514,30128,22,24
118,7669,30128,59,24
119,8575,30128,8,24
120,10161,30128,32,24
121,11406,30128,41,24
122,12211,30128,54,24
123,13049,30128,32,24
124,14697,30128,71,24
125,16567,30128,32,24
126,18234,30128,18,24
127,18401,30128,59,24
128,18634,30128,48,24
129,18867,30128,50,24
130,20991,30128,14,24
131,21469,30128,53,24
132,22626,30128,84,24
133,24530,30128,64,24
134,25708,30128,41,24
135,28044,30128,35,24
136,29074,30128,59,24
137,29116,30128,46,24
138,30566,30128,41,24
139,31032,30128,28,24
140,13,18062,50,41
141,14,26275,69,6
142,3215,26275,42,6
143,13957,26275,27,6
144,15296,26275,40,6
145,21694,26275,27,6
146,24714,26275,43,6
147,25653,26275,84,6
148,17,24667,72,37
149,14868,24667,26,37
150,22395,24667,32,37
151,21,8895,26,47
152,1715,8895,41,47
153,2760,8895,59,47
154,3116,8895,41,47
155,4394,8895,23,47
156,5321,8895,84,47
157,5633,8895,23,47
158,9825,8895,46,47
159,11170,8895,71,47
160,11948,8895,42,47
161,11962,8895,59,47
162,13734,8895,40,47
163,14398,8895,51,47
164,14678,8895,16,47
165,14801,8895,40,47
166,15713,8895,26,47
167,15940,8895,41,47
168,16105,8895,40,47
169,16301,8895,40,47
170,17050,8895,59,47
171,17144,8895,52,47
172,18189,8895,40,47
173,19200,8895,26,47
174,19732,8895,41,47
175,19811,8895,41,47
176,21013,8895,41,47
177,22727,8895,42,47
178,23449,8895,84,47
179,25128,8895,33,47
180,25316,8895,62,47
181,25807,8895,50,47
182,26145,8895,59,47
183,27841,8895,71,47
184,28093,8895,41,47
185,28467,8895,59,47
186,28589,8895,40,47
187,30416,8895,54,47
188,21,7161,26,47
189,30495,7161,0,47
190,22,13712,21,8
191,2070,13712,64,8
192,16755,13712,42,8
193,17595,13712,41,8
194,20072,13712,41,8
195,26563,13712,41,8
196,24,19789,37,61
197,25243,19789,84,61
198,26,11516,23,67
199,27,27513,23,15
200,4178,27513,43,15
201,23942,27513,41,15
202,29,21151,23,49
203,31,27950,21,23
204,505,27950,43,23
205,18606,27950,43,23
206,22126,27950,46,23
207,31,1971,21,23
208,20000,1971,41,23
209,23174,1971,41,23
210,23874,1971,41,23
211,26203,1971,40,23
212,30628,1971,18,23
213,32103,1971,41,23
214,31,24557,21,64
215,21317,24557,26,64
216,23454,24557,70,64
217,28334,24557,42,64
218,31,4075,21,18
219,9015,4075,32,18
220,9838,4075,9,18
221,10047,4075,15,18
222,11406,4075,41,18
223,16095,4075,40,18
224,23841,4075,59,18
225,27417,4075,40,18
226,27642,4075,72,18
227,31,9668,21,84
228,3803,9668,84,84
229,31,19763,21,41
230,31,1019,21,42
231,337,1019,70,42
232,540,1019,37,42
233,562,1019,43,42
234,630,1019,37,42
235,649,1019,41,42
236,795,1019,61,42
237,868,1019,41,42
238,886,1019,23,42
239,1071,1019,71,42
240,1544,1019,41,42
241,1628,1019,39,42
242,1905,1019,40,42
243,1931,1019,41,42
244,1943,1019,39,42
245,2019,1019,41,42
246,2122,1019,61,42
247,2295,1019,59,42
248,2462,1019,84,42
249,2917,1019,38,42
250,2926,1019,17,42
251,3039,1019,59,42
252,3040,1019,46,42
253,3042,1019,42,42
254,3140,1019,17,42
255,3185,1019,41,42
256,3270,1019,39,42
257,3459,1019,25,42
258,3585,1019,59,42
259,4039,1019,56,42
260,4042,1019,8,42
261,4102,1019,32,42
262,4108,1019,40,42
263,4134,1019,54,42
264,4348,1019,61,42
265,4504,1019,9,42
266,4514,1019,59,42
267,4645,1019,0,42
268,4781,1019,77,42
269,4793,1019,59,42
270,4821,1019,59,42
271,4830,1019,84,42
272,4837,1019,84,42
273,4894,1019,25,42
274,5079,1019,61,42
275,5128,1019,84,42
276,5244,1019,42,42
277,5262,1019,8,42
278,5274,1019,41,42
279,5285,1019,32,42
280,5303,1019,41,42
281,5317,1019,41,42
282,5569,1019,84,42
283,6166,1019,59,42
284,6292,1019,40,42
285,6295,1019,40,42
286,6350,1019,59,42
287,6357,1019,1,42
288,6461,1019,25,42
289,6550,1019,26,42
290,6569,1019,52,42
291,6650,1019,51,42
292,6652,1019,40,42
293,6742,1019,46,42
294,6836,1019,64,42
295,6894,1019,23,42
296,6940,1019,46,42
297,6998,1019,43,42
298,7127,1019,71,42
299,7215,1019,23,42
300,7234,1019,59,42
301,7345,1019,41,42
302,7438,1019,41,42
303,7461,1019,41,42
304,7486,1019,40,42
305,7497,1019,20,42
306,7513,1019,41,42
307,7625,1019,41,42
308,7915,1019,41,42
309,8423,1019,54,42
310,8577,1019,32,42
311,8778,1019,11,42
312,8797,1019,64,42
313,8879,1019,41,42
314,9015,1019,32,42
315,9028,1019,32,42
316,9074,1019,54,42
317,9136,1019,84,42
318,9179,1019,41,42
319,9185,1019,41,42
320,9364,1019,62,42
321,9548,1019,14,42
322,9610,1019,19,42
323,9733,1019,40,42
324,9802,1019,42,42
325,9877,1019,8,42
326,10010,1019,84,42
327,10066,1019,70,42
328,10161,1019,32,42
329,10297,1019,39,42
330,10438,1019,41,42
331,10516,1019,84,42
332,10816,1019,71,42
333,10872,1019,70,42
334,10890,1019,42,42
335,11028,1019,54,42
336,11151,1019,41,42
337,11190,1019,84,42
338,11294,1019,29,42
339,11406,1019,41,42
340,11465,1019,84,42
341,11535,1019,23,42
342,11541,1019,37,42
343,11628,1019,41,42
344,11635,1019,8,42
345,11706,1019,8,42
346,11775,1019,59,42
347,11789,1019,21,42
348,11800,1019,41,42
349,11948,1019,42,42
350,12024,1019,25,42
351,12174,1019,13,42
352,12222,1019,84,42
353,12244,1019,84,42
354,12270,1019,43,42
355,12274,1019,54,42
356,12662,1019,41,42
357,12704,1019,16,42
358,13049,1019,32,42
359,13260,1019,40,42
360,13588,1019,46,42
361,13659,1019,70,42
362,13787,1019,8,42
363,13789,1019,28,42
364,13803,1019,26,42
365,13868,1019,0,42
366,14291,1019,1,42
367,14315,1019,62,42
368,14485,1019,43,42
369,14580,1019,59,42
370,14599,1019,84,42
371,14638,1019,41,42
372,14651,1019,59,42
373,14716,1019,27,42
374,14823,1019,41,42
375,14842,1019,41,42
376,14927,1019,55,42
377,15084,1019,15,42
378,15250,1019,61,42
379,15438,1019,71,42
380,15645,1019,37,42
381,15704,1019,82,42
382,15896,1019,84,42
383,16056,1019,41,42
384,16104,1019,40,42
385,16739,1019,72,42
386,16958,1019,41,42
387,16985,1019,72,42
388,17280,1019,37,42
