,firm_id,nace,k,kin,kout,firm_id_consecutive,nace4,nace_consecutive
0,0,16,6,3,3,0,1610,14
1,1,55,4,4,0,1,5510,48
2,2,1,1,1,0,2,111,0
3,3,49,1,1,0,3,4941,43
4,4,46,0,0,0,4,4690,41
5,5,52,1,0,1,5,5229,46
6,6,22,3,2,1,6,2229,20
7,7,46,0,0,0,7,4645,41
8,8,46,0,0,0,8,4690,41
9,9,68,1,0,1,9,6820,59
10,10,25,0,0,0,10,2511,23
11,11,68,0,0,0,11,6810,59
12,12,50,1,0,1,12,5030,44
13,13,58,1,0,1,13,5829,50
14,14,79,1,0,1,14,7911,69
15,15,39,1,1,0,15,3900,36
16,16,59,0,0,0,16,5911,51
17,17,82,1,0,1,17,8292,72
18,18,13,0,0,0,18,1395,11
19,19,25,2,2,0,19,2573,23
20,20,47,1,1,0,20,4753,42
21,21,28,2,0,2,21,2893,26
22,22,23,1,0,1,22,2361,21
23,23,99,1,1,0,23,9999,84
24,24,41,1,0,1,24,4120,37
25,25,49,0,0,0,25,4941,43
26,26,25,1,0,1,26,2573,23
27,27,25,1,0,1,27,2562,23
28,28,31,3,3,0,28,3109,29
29,29,25,2,1,1,29,2562,23
30,30,68,0,0,0,30,6831,59
31,31,23,21,11,10,31,2361,21
32,32,43,4,1,3,32,4334,39
33,33,41,0,0,0,33,4120,37
34,34,10,0,0,0,34,1011,8
35,35,68,1,0,1,35,6810,59
36,36,58,4,3,1,36,5813,50
37,37,61,0,0,0,37,6120,53
38,38,41,0,0,0,38,4120,37
39,39,47,1,0,1,39,4752,42
40,40,45,2,1,1,40,4511,40
41,41,39,1,0,1,41,3900,36
42,42,47,1,1,0,42,4730,42
43,43,68,1,0,1,43,6832,59
44,44,25,2,1,1,44,2561,23
45,45,23,0,0,0,45,2361,21
46,46,43,0,0,0,46,4321,39
47,47,25,1,1,0,47,2562,23
48,48,38,0,0,0,48,3811,35
49,49,47,0,0,0,49,4778,42
50,50,52,0,0,0,50,5221,46
51,51,45,2,0,2,51,4519,40
52,52,25,1,0,1,52,2562,23
53,53,46,2,1,1,53,4643,41
54,54,46,0,0,0,54,4690,41
55,55,70,0,0,0,55,7022,61
56,56,43,1,0,1,56,4399,39
57,57,70,1,0,1,57,7010,61
58,58,47,6,4,2,58,4779,42
59,59,62,2,1,1,59,6201,54
60,60,10,1,1,0,60,1012,8
61,61,69,0,0,0,61,6920,60
62,62,61,1,0,1,62,6110,53
63,63,68,0,0,0,63,6820,59
64,64,58,0,0,0,64,5829,50
65,65,99,1,1,0,65,9999,84
66,66,46,1,1,0,66,4651,41
67,67,49,1,0,1,67,4941,43
68,68,68,5,2,3,68,6820,59
69,69,99,0,0,0,69,9999,84
70,70,55,0,0,0,70,5510,48
